123456789012,Huỳnh Văn Long,0912345678,Hà Nội,1988,5000000,NV01,50,15000000
234567890123,Trần Thị Mai,0911122233,TPHCM,1990,4500000,NV02,30,12000000
345678901234,Phạm Văn Hùng,0913344556,Đà Nẵng,1985,4000000,NV03,45,13000000
456789012345,Lê Thị Hồng,0987654321,Cần Thơ,1992,6000000,NV04,60,18000000
567890123456,Hoàng Văn Nam,0932123456,Huế,1987,3000000,NV05,20,11000000
678901234567,Nguyễn Thị Lan,0945678901,Hải Phòng,1993,7000000,NV06,55,16500000
789012345678,Võ Minh Tâm,0933445566,Đà Lạt,1995,5000000,NV07,35,12500000
890123456789,Bùi Thị Ngọc,0921234567,Bình Dương,1991,6500000,NV08,50,15500000
901234567890,Đỗ Quang Dũng,0971234567,Nha Trang,1989,4200000,NV09,28,11800000
123456789101,Lý Minh Tuấn,0961234567,Quảng Ninh,1996,5500000,NV10,42,13800000
234567890112,Phan Thị Vân,0951234567,Vũng Tàu,1994,5000000,NV11,33,12800000
345678901123,Nguyễn Hoàng Nam,0941234567,Hà Nội,1986,6000000,NV12,46,14600000
456789012134,Trần Minh Hoàng,0931234567,TPHCM,1984,3500000,NV13,40,13000000
567890123145,Vũ Hải Đăng,0921234567,Hải Phòng,1983,6200000,NV14,54,15200000
678901234156,Nguyễn Thị Cẩm,0911234567,Đà Nẵng,1997,4800000,NV15,32,12500000
789012345167,Lâm Bích Phượng,0901234567,Đồng Nai,1990,5300000,NV16,38,13300000
890123456178,Dương Thế Hùng,0981234567,TP.HCM,1995,6100000,NV17,59,16000000
901234567189,Mai Văn Toàn,0977654321,Hà Nội,1988,4700000,NV18,27,11700000
123456789190,Lê Văn Phúc,0962345678,Đà Nẵng,1985,5600000,NV19,34,12600000
234567890200,Trương Văn Phú,0953456789,Cần Thơ,1992,5800000,NV20,48,14800000
